kinetics_scale,sei_rate_scale,dead_li_decay_scale,plating_rate_scale,dod_lam_scale,oracle_arc_ratio,oracle_r1_growth_pct,oracle_soh_fade_per_cycle,oracle_failure,n_cycles_completed,implied_eol_cycle,crate_probe_skipped,crate_sensitivity_ratio,runtime_s,score,trial_number
0.3832918812408075,0.016202879744486205,95.18355621335002,0.1206431057311391,0.0,17.54199062154879,3.941503007374525,0.0002897230315367372,False,4,690.314466679325,True,,58.3,3.929192141435111,0
0.12034268329208288,0.16524680777017756,0.3416361796693612,0.05269493339314529,0.0,68.8292414390668,109.27110126876372,0.000723760108365464,False,4,276.33465521010675,True,,62.3,3.916124456416906,1
0.17829842130950638,0.1653776290106399,3.759397119745724,0.16873991639106992,0.0,36.52757856608379,75.31371063834345,0.0011196990006921241,False,4,178.619432433514,True,,67.6,1.8201378095264416,2
0.16930133678272968,0.5227270589225135,46.17010395473557,0.42022959710213365,0.0,42.806918948364626,92.47460706242279,0.002045337439248174,False,4,97.78337606410614,True,,59.5,1.7592316326787714,3
0.10478033749915432,0.2934246482004709,3.8001441745124587,2.5476593398906715,0.0,64.78367281362094,-41.357188017626534,0.001616902569837153,False,4,123.69329094463811,True,,55.8,3.5843612382563244,4
0.22719903866796573,0.2632061221168845,695.192216173108,0.234349119875141,0.0,30.872038043467377,98.18473130065226,0.0015772296612864094,False,4,126.80461502155454,True,,57.1,1.958119327171993,5
0.1506026921956498,0.012994808184797561,292.8158381299605,0.046034877058293254,0.0,45.50116578250366,104.71294448168402,0.0005095817902649827,False,4,392.47870277311114,True,,53.4,3.4824334800698797,6
0.19902864464288136,0.01686271120497363,0.7440386179541234,7.454460317621289,0.0,36.69645530977867,-41.66995995515334,0.0002841339144334561,False,4,703.8934454508416,True,,57.4,4.498853285735208,7
0.19190022160576,0.04287389519996027,0.20260529906733143,3.38589965139837,0.0,37.40918124317459,65.50647879743848,0.0005344159906771617,False,4,374.240298735408,True,,55.3,2.382489691394138,8
0.4893791248372152,0.7566830409678318,27.980162766859884,0.010451188786453243,0.0,9.953145915837627,15.18216366712788,0.002164368958668598,False,4,92.40568674715661,True,,64.3,1.9096197592042863,9
0.47545852132572614,0.9935032389272049,35.981756917375556,0.7478882027000248,0.0,1118163.516312406,15.646897834414176,0.0024519549089748738,False,4,81.567568501338,True,,65.8,33075.177734314486,10
0.2925419519682933,0.987737385709514,17.260047011146252,0.9534678715166857,0.0,18.424955185825564,-26.080444768532484,0.0025878415954379377,False,4,77.28448308141296,True,,63.2,2.335966474462933,11
